Name,RA(deg),DEC(deg),MJD,SN_Redshift
2017gdx,20.70627972,-13.1731945347,57975.54599539982,0.056
2017gea,41.238792,34.094481,57982.58999999985,0.031795
2017gfa,340.4584475,-26.1072498371,57979.435000000056,0.073
2017gfd,26.8070215403,-28.1538961866,57974.51599540003,0.058
2017gfe,19.3936374729,-25.775627232,57974.50199070014,0.06
2017gfg,239.409495438,-22.9521200312,57983.25799770001,0.1
2017gfj,333.143458,38.6771,57984.94799769996,0.072
2017gfl,328.827064111,-26.3130167544,57978.41299769981,0.077
2017gfm,23.2874866667,-6.56258333333,57982.59399309987,0.1
2017gfn,11.68429,-18.822785,57981.535995400045,0.12
2017gfy,7.89629012172,-26.1879632585,57981.5259953998,0.063
2017ggg,22.3996326626,-19.1182488251,57975.47599539999,0.11
2017ggu,322.539,-51.0383,57978.781134299934,0.07
2017ghl,352.525586667,5.69304333333,57986.52899309993,0.114
2017ghm,272.943042,0.857889,57987.51103009982,0.023
2017ghs,157.009083,-42.10575,57987.02699070005,0.018
2017ghu,84.132,16.642389,57991.486597222276,0.018
2017gig,9.137252,-30.58206,57982.750995399896,0.065
2017gil,17.94541,7.36299444444,57991.570995400194,0.094
2017gin,13.994062386,-9.62644761424,57996.46599540021,0.057
2017git,28.6853027547,-7.00408709836,57987.54099539993,0.079
2017gjd,300.937167,-27.988419,57994.08999999985,0.023
2017gjn,40.951792,32.526069,57994.85991899995,0.015
2017gkt,354.1075,27.39829,57992.349988400005,0.03
2017gla,176.841458,89.085983,57997.830000000075,0.0203
2017glk,52.238125,-7.094281,57996.71899309987,0.07
2017glq,32.116583,6.387869,58001.04472000012,0.011755
2017glu,39.992875,-0.530111,57998.577997699846,0.051
2017glz,3.21358136626,-22.8617511788,58010.463993099984,0.05
2017goz,349.811529169,-11.5203572896,57983.487997699995,0.07
2017gqr,292.090042,56.579361,58005.156701399945,0.025
2017grd,104.810708,24.922419,57881.303993099835,0.03
2017grl,8.51906941176,-10.5605447059,57992.48499999987,0.1
2017grw,239.37374,15.87276,58007.97999999998,0.017
2017gsz,47.6339016667,46.2484291667,58004.55699069984,0.028
2017gtc,240.250841667,76.126725,58008.27000000002,0.0499
2017gtg,257.688073571,32.8783192857,58008.22500000009,0.0707
2017gtl,36.878135,21.9886675,58007.580000000075,0.04
2017gtn,7.15542666667,38.0883666667,58004.48099539988,0.0506
2017gto,3.01616461218,1.10333702435,58011.46099539986,0.086
2017gts,34.6505358333,5.25426333333,58010.48899309989,0.09
2017gtw,338.548254667,-28.78715,57997.441990700085,0.064
2017guc,357.707167,-38.85185,58011.51799769979,0.0596
2017guh,75.80477,-22.8331,58014.310000000056,0.015
2017gup,52.392667,10.973189,58019.482997700106,0.016
2017guu,65.8430785714,25.4113271429,58009.588993099984,0.021
2017guv,288.342264286,-16.8011514286,58011.30500000017,0.023806
2017gvp,355.444958,-1.350919,58019.47999999998,0.023
2017gvw,45.556083,3.810289,58014.54799770005,0.0324
2017gwt,330.521111156,-7.11980678004,58008.31099539995,0.056
2017gwy,335.893833,11.859961,58022.17011574097,0.03
2017gxe,36.063833,-15.555331,58008.72799770022,0.06
2017gxq,196.350042,56.324181,58148.61199070001,0.0084
2017gzu,136.183417,37.228061,58024.23499999987,0.0442
2017gzx,220.7135,32.99745,58023.862997699995,0.0682
2017haf,359.091208,32.45665,58026.5,0.0094
2017hai,134.054583,32.509831,58025.41399310017,0.0609
2017hbf,237.823565833,-15.4529675,58024.21599540021,0.038
2017hbh,323.887764615,22.2619992308,58009.39500000002,0.05
2017hbi,38.1314968035,35.4835718614,58028.44699069997,0.04
2017hbv,52.939125,-39.614361,58029.49399309978,0.114
2017hbw,160.137042,32.51975,58029.90299770003,0.0849
2017hce,297.78139182,50.5631550763,58028.2079977002,0.032
2017hcx,58.6685,-40.8792,58030.4919906999,0.06
2017hcz,335.026125,-28.399269,58030.54000000004,0.081
2017hdn,53.88565,-61.27938,58034.189999999944,0.027
2017hdq,2.3152552,5.2965176,58018.42399309995,0.088
2017hdt,20.403875,-3.593181,58034.428993099835,0.0164
2017hdv,354.651993492,-11.3915291857,58064.305995400064,0.0642
2017hdw,16.3404022222,-1.12396666667,58034.42399309995,0.0458
2017hef,56.682083,-46.622039,58032.318993099965,0.07
2017heg,346.824117586,-17.4812525712,58034.31399310008,0.045
2017hes,37.9356688554,2.69124281145,58025.577997699846,0.064
2017hfv,115.35846,18.72951,58036.60999999987,0.0246
2017hgk,313.935962582,-15.57947595,58034.22599539999,0.1117
2017hgz,327.083833,-34.952889,58036.02000000002,0.016
2017hhi,335.508292,-26.167069,58033.36599540012,0.0537
2017hho,328.669625,-6.730539,58039.33999999985,0.0691
2017hhz,26.070458,12.25515,58048.450000000186,0.0392
2017hie,298.255125,41.215769,58036.84399309987,0.0626
2017hig,158.323333,16.407539,58037.49099540012,0.045
2017him,59.4396592722,15.9310652721,58074.5,0.05
2017hip,30.580849375,-18.368664375,58017.52199070016,0.065
2017hiq,13.2233341885,16.1148210674,58039.9214583002,0.091
2017his,51.435667,-63.881611,58037.82399309985,0.033
2017hjb,51.327095,-21.81850125,58037.49399309978,0.07
2017hjs,352.289125,28.153722,58053.559733800124,0.0987
2017hju,38.6092563016,32.9373075103,58075.283993099816,0.022
2017hjw,77.182625,70.4757,58141.3119907002,0.016161
2017hjy,39.010708,43.472061,58067.43299769983,0.007
2017hkk,339.242625,-8.416556,58041.126377314795,0.0915
2017hkz,174.84675,64.80435,58042.3879976999,0.0435
2017hlt,261.587200313,41.68459125,58036.20999999996,0.027
2017hlw,156.856042,-17.398819,58043.76799769979,0.037
2017hm,173.294112678,-10.2220742817,57762.62000000011,0.021
2017hmf,326.16275,7.0244,58045.22199069988,0.0619
2017hmi,154.336708,63.859731,58044.64099540003,0.0398
2017hmx,58.888464169,33.2666950256,58055.391990699805,0.073
2017hmz,105.958545455,13.2715918182,58043.64999999991,0.043
2017hn,196.914247194,6.33756391923,57762.41371530015,0.0238
2017hnb,327.427,-1.247719,58046.5145370001,0.059
2017hng,65.4191504286,-3.54111543573,58065.46899309987,0.03
2017hnx,325.920166154,-8.43326,58048.29599539982,0.0517
2017hof,62.3204522593,-20.6996361867,58059.46499999985,0.055
2017hol,314.93325,-28.98095,58047.29299770016,0.09
2017hom,41.5874075,-14.6852825,58049.45399310021,0.1271
2017hoo,52.4799293333,-18.294308,58047.47500000009,0.0574
2017hop,44.8959547059,-21.8684817647,58043.478993100114,0.067
2017hoq,79.83454,-17.6115888889,58047.550995400175,0.02
2017hor,115.354625,5.456089,58034.64399310015,0.04
2017hou,62.2590006327,-1.1600202289,58050.37015046319,0.016738
2017hpa,69.9613918261,7.0653376245,58051.34601851832,0.015654
2017hpj,358.58547537,-17.3061267165,58064.35099539999,0.037
2017hpk,32.3601216667,-42.6877166667,58049.44799769996,0.052
2017hpl,32.617642,-16.981113,58047.463993099984,0.07
2017hq,207.34998,8.50736,57763.66000000015,0.0379
2017hqb,352.7344975,23.18684,58049.38399309991,0.062
2017hqc,350.784167,10.647711,58053.49005790008,0.037
2017hqe,107.8634184,-32.110578,58043.60299770022,0.038
2017hql,6.525042,25.721339,58049.41299769981,0.034
2017hr,181.613992633,28.1387232593,57764.56233800016,0.0293
2017hrh,30.105046677,3.32241215667,58074.39399310015,0.082
2017hrk,50.131083,42.644386,58056.52115740022,0.0347
2017hrm,107.1033225,-23.78942625,58053.52799770003,0.044
2017huu,49.0589731302,-18.3170967163,58056.46699069999,0.044
2017hvt,28.19075,-48.89,58076.06599539984,0.021
2017hxc,331.71637,-5.95145,58065.02000000002,0.059
2017hxo,45.7088579168,5.48505615809,58054.502997700125,0.06
2017hxx,323.19056,24.14069,58067.279999999795,0.036
2017hya,350.08778,-34.62448,58067.10999999987,0.052
2017hyi,110.11584,56.1353416667,58062.58499999996,0.037
2017hyr,109.553194303,47.0420479613,58069.577997699846,0.04
2017hyw,14.5342,-10.12045,58067.14999999991,0.051
2017hyx,71.78819,-16.34503,58068.31999999983,0.038
2017hzc,312.531336818,5.98581136364,58026.33999999985,0.048
2017ibu,104.912863311,44.9002287534,58067.5959954001,0.127
2017icq,129.421994789,53.4612256825,58067.64399310015,0.09
2017icw,36.1472833333,-11.7504766667,58070.39899310004,0.075
2017iez,23.305167,-17.525489,58071.36199070001,0.046
2017ifb,355.7551575,18.99455875,58067.34498840012,0.072
2017ift,313.377853333,-10.0530095238,58066.25499999989,0.038
2017igf,175.706875,77.370219,58075.58999999985,0.006
2017igq,313.953083,-51.1744,58073.266990699805,0.048
2017igr,64.681458,26.931392,58075.611516200006,0.025
2017igy,38.0431397811,4.07775070682,58074.39899310004,0.073
2017iha,134.36929,28.61664,58076.43000000017,0.048
2017ihg,147.330833,10.535061,58070.64399310015,0.081
2017ihl,162.206362222,-4.27053777778,58070.61199070001,0.081
2017ij,232.903292,25.242481,57762.05799769983,0.033
2017ijk,70.5071783871,-3.14369322581,58068.46099539986,0.063
2017ijq,111.071792,10.266611,58077.502997700125,0.076
2017ijr,116.712792,15.399119,58077.49799769977,0.04
2017ijw,318.470708,2.220269,58084.79299770016,0.047
2017ijx,162.970917,51.008069,58078.6869212999,0.0276
2017ile,83.529908,-29.611389,58079.330000000075,0.036
2017ilf,139.186272958,18.9541431277,58077.566990700085,0.03
2017ili,356.205453333,-12.733015,58074.32899310021,0.025
2017iln,53.8518685714,6.09255571429,58074.428993099835,0.078
2017ilt,12.30579,-25.69683,58079.14000000013,0.068
2017ilu,35.789625,-32.872269,58080.74000000022,0.0615
2017ilv,13.274083,-38.943689,58109.48199070012,0.043
2017imd,139.767663924,5.88685162123,58079.59199069999,0.046
2017img,24.927417,20.578875,58080.561527799815,0.087
2017imw,149.26913,-35.180944,58081.56299770018,0.035
2017imx,5.023292,42.233556,58082.52976850001,0.0687
2017inu,63.84524,-12.06932,58082.25999999978,0.06
2017ipi,134.914042,61.754889,58098.54299770016,0.037
2017isj,167.685508975,4.84744359695,58129.625,0.019
2017isq,198.300708,-19.520911,58091.61799769988,0.009
2017isu,100.9605,-29.661111,58090.02799770003,0.08
2017ito,53.38325,3.1901,58092.38399309991,0.043
2017itp,45.0633075918,-10.5298738921,58094.377997700125,0.057
2017itw,152.638333,-30.509961,58092.24599540001,0.079
2017itx,161.805375,0.203811,58116.553993099835,0.035
2017iui,151.629292,-16.486881,58089.16799770016,0.079
2017iul,18.9579894425,34.6154430505,58092.28099540016,0.09
2017iuu,96.91705,47.4960330769,58094.502997700125,0.043
2017iuv,67.9234659241,-21.1478856795,58095.37399310013,0.051
2017iuw,38.354583,-20.202581,58043.45999999996,0.036
2017iva,29.5802566667,-28.3874922222,58091.32699069986,0.076
2017ivb,204.772083,-20.2918,58095.64500000002,0.033
2017ivg,7.646515,1.5167725,58096.299999999814,0.081
2017ivp,77.1625,-33.523139,58093.79399310006,0.106
2017ivr,161.61225,-33.03945,58093.4919906999,0.06
2017ivs,183.555792,-22.520831,58093.90199070005,0.033
2017ivz,79.329208,-36.826819,58094.717997699976,0.07
2017iwi,168.633333,-43.97055,58096.419999999925,0.046
2017iws,130.673455629,13.9677959847,58099.52799770003,0.091
2017iwt,59.40725,-36.859319,58099.30299769994,0.097
2017iwy,181.439833,10.398169,58100.64000000013,0.028
2017ixa,134.463591832,-6.84485160588,58097.520995399915,0.088
2017ixd,38.586555,23.776599,58093.38399309991,0.067
2017ixe,37.4565,45.7809,58100.80928240018,0.034
2017ixg,350.1275,24.777581,58099.27899309993,0.0277
2017ixi,66.2357563597,-17.8100512431,58113.330000000075,0.069
2017ixj,52.8616720408,-17.3793071429,58091.37999999989,0.068
2017ixl,14.352305,-0.767751,58096.31299770018,0.05
2017ixq,32.19945,-44.66647,58103.06999999983,0.08
2017ixu,57.529333,-35.009919,58099.48099539988,0.06
2017ixw,31.248875,-41.868739,58106.23199070012,0.07
2017iya,345.226333,8.724161,58099.27299770014,0.06
2017iyb,92.236708,-27.795861,58113.41399310017,0.008
2017iye,151.753417,-14.266211,58098.568993099965,0.046
2017iyk,50.866417,-41.305569,58102.05299769994,0.07
2017iyl,90.06299771,-18.1027215563,58096.450000000186,0.027846
2017iyp,12.605125,52.2978,58100.79899309995,0.04
2017iyw,123.378125,71.428981,58094.54000000004,0.0215
2017izn,28.380667,39.821969,58102.28899310017,0.09
2017izu,209.609417,-34.516089,58101.97699069977,0.017
2017jav,105.731208,62.772411,58106.24300925946,0.01517
2017jbp,134.323649612,63.5463274303,58094.57199069997,0.14
2017jd,353.651958038,-4.53453429439,57762.213993099984,0.007
2017jdb,163.2665,73.106339,58120.50499999989,0.05
2017jdx,11.9841400853,22.3734250897,58118.23099539988,0.02
2017jdy,57.3868726823,-26.8716465585,58112.26799769979,0.068
2017jef,226.33766,12.78431,58113.64000000013,0.028
2017jeg,129.102696,26.123511,58101.58999999985,0.07
2017jeh,112.517375,54.436439,58096.56998840021,0.021
2017jfb,82.2135,-35.743231,58019.61899309978,0.06
2017jfd,149.55542625,0.560946875,58104.53799769981,0.082
2017jfo,23.403458,33.431169,58113.61199070001,0.08
2017jhf,186.440667,-21.740119,58115.89899310004,0.033
2017jir,183.031542,-40.505661,58103.603993100114,0.03
2017jk,251.311417,70.807389,57768.588402799796,0.057
2017jl,14.3829025,30.18523125,57769.220000000205,0.02
2017jlz,184.963843227,7.57119892587,58115.630995399784,0.06
2017jnb,118.86814519,31.051625516,58112.54000000004,0.16
2017jr,128.457583,-25.040161,57767.320995400194,0.06
2017jtv,143.086556398,3.44697053897,58109.5869907001,0.09
2017jy,68.185125,-5.8918,57769.18799770018,0.043
2017jyl,160.08875,-46.419619,58117.54599539982,0.024
2017jym,86.510458,-25.651831,58141.27499999991,0.041
2017jyq,47.641125,-43.4928,58133.71299770009,0.04
2017jzk,136.750167,16.674528,58104.70999999996,0.08
2017jzp,202.101792,67.717731,58106.588993099984,0.055
2017kaa,357.562883077,22.5555126923,58081.34199069999,0.051
2017kdb,320.467713059,-19.7293531479,58286.56799770007,0.0398
2017kdk,329.620728,-27.706759,58043.32699069986,0.061
2017kz,196.855875,-1.323169,57783.58099539997,0.087
2017lb,153.20775,-18.112731,57828.316990700085,0.053
2017lc,146.107083,-18.548339,57764.880995399784,0.05
2017le,167.613353125,28.695091875,54832.0,0.03
2017lf,48.14,39.320581,54832.0,0.0146
2017lm,45.385,-15.015989,57767.27000000002,0.03052
2017ln,174.640383818,25.3970966888,54832.0,0.025
2017lv,176.11071253,-28.4574660702,57828.42299999995,0.029
2017lw,8.463534,-42.61837,57759.10000000009,0.186
2017me,171.977262454,27.3457994546,57801.570995400194,0.033
2017mf,214.129458,39.586281,57774.08819440007,0.0257
2017ms,156.6765,36.680489,57852.34099540021,0.0246
2017mt,149.936405298,27.6484944503,57798.482997700106,0.096
2017mu,142.65249685,21.4118281242,57788.533993099816,0.0815
2017ng,230.169708,4.659639,57776.64000000013,0.03
2017nh,107.556380291,27.2029398517,54832.0,0.06
