,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
24,130113,SN2023jms,345.8890125,-45.17394722222222,SN Ia,0.09,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23ljw,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,18.83,cyan-ATLAS,60091.0,ATLAS_Bot1,,2023TNSTR1246....1T,2023TNSCR1341....1H,
25,130090,SN2023jlx,204.36362083333333,63.02815833333333,SN Ia,0.066,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF23aafhyse,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.53,g-ZTF,60088.0,ZTF_Bot1,,2023TNSTR1241....1F,2023TNSCR1266....1F,
26,130081,SN2023jlo,203.7739,-20.244797222222225,SN Ia,0.0425,WISEA J133505.73-201441.8,,"ALeRCE, Fink, ATLAS","ZTF, ATLAS",ePESSTO+,ALeRCE; ATLAS; Fink,ZTF23aalklzg,"ATLAS-STH - ATLAS-03, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,19.942,r-ZTF,60087.0,ALeRCE,,2023TNSTR1224....1M,2023TNSCR1334....1K,
27,130080,SN2023jln,259.785525,30.946316666666668,SN Ia,0.08,SDSS J171908.33+305639.2,,"ALeRCE, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS",ZTF,ALeRCE; ATLAS; Pan-STARRS; YSE,ZTF23aaltnze,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,20.8646,g-ZTF,60087.0,ALeRCE,,2023TNSTR1224....1M,2023TNSCR1326....1J,
28,130055,SN2023jkp,205.53729166666668,0.8708333333333333,SN Ia,0.09,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF23aakyoji,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,20.5,r-ZTF,60085.0,ZTF_Bot1,,2023TNSTR1230....1F,2023TNSCR1334....1K,
29,130015,SN2023jje,274.0183583333333,75.051175,SN Ia,0.07,WISEA J181605.19+750305.6,,"ALeRCE, Fink",ZTF,ZTF,ALeRCE; Fink,ZTF23aalsied,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.5415,g-ZTF,60088.0,ALeRCE,,2023TNSTR1224....1M,2023TNSCR1349....1J,
30,130009,SN2023jiy,168.61145,-11.702516666666666,SN Ia,0.05,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23lgj,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.037,orange-ATLAS,60088.0,ATLAS_Bot1,,2023TNSTR1214....1T,2023TNSCR1334....1K,
31,129996,SN2023jil,183.23704166666667,57.62835277777778,SN Ia,0.06457,,,"ZTF, Pan-STARRS, ATLAS, Fink","ZTF, Pan-STARRS, ATLAS",ZTF,ATLAS; Fink; Pan-STARRS; ZTF,ZTF23aalqgpk,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.89,r-ZTF,60088.0,ZTF_Bot1,,2023TNSTR1218....1F,,
32,129995,SN2023jik,310.4857958333333,-8.598730555555557,SN Ia,0.048502,,,"ZTF, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Fink; Pan-STARRS; ZTF,ZTF23aakidwn,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.07,g-ZTF,60082.0,ZTF_Bot1,,2023TNSTR1218....1F,2023TNSCR1259....1F,
33,129986,SN2023jib,227.06629583333333,6.799480555555555,SN Ia,0.05,,,"ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF23aakrkjt,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,19.0123,g-ZTF,60084.0,ZTF_CLU_PUBLIC,,2023TNSTR1219....1D,2023TNSCR1334....1K,
34,129978,SN2023jht,202.80317083333333,25.313991666666666,SN Ia,0.08,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF23aaldwgw,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,21.01,g-ZTF,60084.0,ZTF_Bot1,,2023TNSTR1218....1F,2023TNSCR1341....1H,
35,129953,SN2023jgu,213.837875,-2.444827777777778,SN Ia,0.05,,,"ANTARES, Fink, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",ZTF,ANTARES; ATLAS; Fink; Pan-STARRS,ZTF23aakawpn,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,18.052,r-ZTF,60087.0,ANTARES_bot,,2023TNSTR1198....1A,2023TNSCR1250....1F,
36,129949,SN2023jgq,222.9050875,18.926136111111113,SN Ia,0.0453,,,"Pan-STARRS, ATLAS","Pan-STARRS, ATLAS",DEbass,ATLAS; Pan-STARRS,PS23djk,"ATLAS-HKO - ATLAS-02, PS2 - GPC2",ANU-2.3m - WiFeS,1,1,,20.09,w-P1,60086.0,PS1_Bot1,,2023TNSTR1205....1C,2023TNSCR1302....1M,
37,129898,SN2023jes,233.56756666666666,-0.19625555555555554,SN Ia,0.07,2MASX J15341580-0011436,0.06784,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ALeRCE; ATLAS; Fink; Pan-STARRS,ZTF23aaldzxz,"ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,20.0127,r-ZTF,60084.0,ALeRCE,,2023TNSTR1182....1M,2023TNSCR1334....1K,
38,129854,SN2023jda,296.84765833333336,43.864872222222225,SN Ia,0.042862,,,"ATLAS, ZTF","ATLAS, ZTF",SCAT,ATLAS; ZTF,ATLAS23lbu,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",UH88 - SNIFS,1,1,,18.256,orange-ATLAS,60086.0,ATLAS_Bot1,,2023TNSTR1184....1T,2023TNSCR1210....1P,
39,129853,SN2023jcz,231.3238375,45.724225000000004,SN Ia,0.097721,,,ATLAS,ATLAS,SCAT,ATLAS,ATLAS23lbp,ATLAS-HKO - ATLAS-02,UH88 - SNIFS,1,1,,18.818,orange-ATLAS,60086.0,ATLAS_Bot1,,2023TNSTR1184....1T,2023TNSCR1210....1P,
40,129808,SN2023jbi,196.32054583333334,21.451791666666665,SN Ia,0.070777,,,"ATLAS, ALeRCE, YSE","ATLAS, ZTF, Pan-STARRS",ZTF,ALeRCE; ATLAS; Pan-STARRS; YSE,ATLAS23kzs,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.858,orange-ATLAS,60085.0,ATLAS_Bot1,,2023TNSTR1174....1T,2023TNSCR1325....1F,
41,129804,SN2023jbe,302.7448708333333,-56.714133333333336,SN Ia,0.052,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kzj,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.882,cyan-ATLAS,60085.0,ATLAS_Bot1,,2023TNSTR1174....1T,2023TNSCR1192....1T,
42,129799,SN2023jaz,50.770466666666664,-80.4427,SN Ia,0.07,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kzb,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,18.805,cyan-ATLAS,60085.0,ATLAS_Bot1,,2023TNSTR1174....1T,2023TNSCR1334....1K,
43,129760,SN2023izm,220.7870125,22.876886111111112,SN Ia,0.068438,SDSS J144308.78+225236.0,0.06843752,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF23aakrngt,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.3518,g-ZTF,60084.0,ALeRCE,,2023TNSTR1168....1F,2023TNSCR1320....1P,
44,129703,SN2023ixk,293.44163333333336,41.32266666666667,SN Ia,0.075,,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF23aakmqlj,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,20.3792,g-ZTF,60081.0,ALeRCE,,2023TNSTR1167....1M,2023TNSCR1326....1J,
45,129688,SN2023iwv,217.2964625,47.11756666666667,SN Ia,0.071805,,,ATLAS,ATLAS,SCAT,ATLAS,ATLAS23kvo,ATLAS-HKO - ATLAS-02,UH88 - SNIFS,1,1,,19.174,orange-ATLAS,60082.0,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1179....1H,
46,129687,SN2023iwu,154.610375,-6.8445222222222215,SN Ia,0.07642,,,ATLAS,ATLAS,DEbass,ATLAS,ATLAS23kvl,ATLAS-STH - ATLAS-03,ANU-2.3m - WiFeS,1,1,,19.379,cyan-ATLAS,60082.0,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1209....1M,
47,129684,SN2023iwr,173.4384375,-23.639677777777777,SN Ia,0.065,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kuz,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.572,cyan-ATLAS,60080.0,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1192....1T,
48,129681,SN2023iwo,239.59497083333332,17.142025,SN Ia,0.091,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kub,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02",ESO-NTT - EFOSC2-NTT,1,1,,18.683,cyan-ATLAS,60077.0,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1192....1T,
49,129662,SN2023ivv,234.17264583333332,4.475327777777778,SN Ia,0.0692,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT, DEbass",ATLAS; Pan-STARRS,ATLAS23ksi,"ATLAS-STH - ATLAS-03, PS2 - GPC2","ANU-2.3m - WiFeS, UH88 - SNIFS",1,1,,19.176,cyan-ATLAS,60082.0,ATLAS_Bot1,,2023TNSTR1156....1T,"2023TNSCR1179....1H, 2023TNSCR1209....1M",
