Object Name,Prefix,Object ID
1054,SN,2
1572,SN,3
1604,SN,4
1937C,SN,33
1937D,SN,34
1939A,SN,40
1948B,SN,58
1954A,SN,104
1954B,SN,109
1956A,SN,153
1957A,SN,164
1957B,SN,165
1959C,SN,176
1959D,SN,177
1960F,SN,186
1960H,SN,188
1960R,SN,198
1961F,SN,204
1961I,SN,207
1961V,SN,220
1962J,SN,232
1962L,SN,234
1963I,SN,249
1964E,SN,269
1964F,SN,270
1964H,SN,272
1964L,SN,276
1966J,SN,305
1968D,SN,326
1968E,SN,327
1968I,SN,331
1969L,SN,360
1970A,SN,366
1970G,SN,372
1970J,SN,375
1971G,SN,388
1971L,SN,393
1971U,SN,402
1972E,SN,408
1972J,SN,413
1973N,SN,437
1973R,SN,441
1974G,SN,452
1974J,SN,455
1975N,SN,471
1978G,SN,512
1979C,SN,520
1980K,SN,535
1980N,SN,538
1981B,SN,543
1981E,SN,546
1981G,SN,548
1981K,SN,552
1982B,SN,555
1982L,SN,565
1982R,SN,571
1982W,SN,576
1983G,SN,588
1983N,SN,595
1983P,SN,597
1983R,SN,599
1983S,SN,600
1983T,SN,601
1983U,SN,602
1983V,SN,603
1984A,SN,608
1984E,SN,612
1984I,SN,616
1984J,SN,617
1984L,SN,619
1984N,SN,621
1984O,SN,622
1985A,SN,630
1985B,SN,631
1985C,SN,632
1985E,SN,634
1985F,SN,635
1985G,SN,636
1985I,SN,638
1985L,SN,641
1985O,SN,644
1985P,SN,645
1985Q,SN,646
1985R,SN,647
1985S,SN,648
1986A,SN,651
1986B,SN,652
1986C,SN,653
1986E,SN,655
1986G,SN,657
1986I,SN,659
1986K,SN,661
1986L,SN,662
1986M,SN,663
1986N,SN,664
1986O,SN,665
1987A,SN,667
1987C,SN,669
1987D,SN,670
1987F,SN,672
1987I,SN,675
1987J,SN,676
1987K,SN,677
1987L,SN,678
1987M,SN,679
1987N,SN,680
1987O,SN,681
1988A,SN,687
1988B,SN,697
1988C,SN,698
1988D,SN,699
1988E,SN,700
1988F,SN,701
1988H,SN,703
1988I,SN,704
1988J,SN,705
1988K,SN,706
1988L,SN,707
1988M,SN,708
1988N,SN,709
1988O,SN,710
1988P,SN,711
1988Q,SN,712
1988R,SN,713
1988S,SN,714
1988V,SN,717
1988Y,SN,720
1988Z,SN,721
1989A,SN,722
1989B,SN,729
1989C,SN,730
1989D,SN,731
1989E,SN,732
1989F,SN,733
1989G,SN,734
1989K,SN,738
1989L,SN,739
1989M,SN,740
1989N,SN,741
1989O,SN,742
1989P,SN,743
1989Q,SN,744
1989R,SN,745
1989S,SN,746
1989U,SN,748
1989V,SN,749
1990aa,SN,755
1990ab,SN,756
1990ac,SN,757
1990ad,SN,758
1990ae,SN,759
1990af,SN,760
1990ag,SN,761
1990ah,SN,762
1990ai,SN,763
1990aj,SN,764
1990B,SN,767
1990E,SN,770
1990G,SN,772
1990H,SN,773
1990M,SN,778
1990N,SN,779
1990U,SN,786
1990X,SN,789
1991A,SN,792
1991aa,SN,793
1991ab,SN,794
1991ad,SN,796
1991ae,SN,797
1991af,SN,798
1991ag,SN,799
1991ah,SN,800
1991ai,SN,801
1991aj,SN,802
1991ak,SN,803
1991al,SN,804
1991am,SN,805
1991ao,SN,807
1991ar,SN,810
1991as,SN,811
1991at,SN,812
1991au,SN,813
1991av,SN,814
1991ax,SN,816
1991ay,SN,817
1991az,SN,818
1991B,SN,819
1991ba,SN,820
1991bb,SN,821
1991bc,SN,822
1991bd,SN,823
1991bg,SN,826
1991bh,SN,827
1991bi,SN,828
1991bj,SN,829
1991C,SN,832
1991D,SN,833
1991E,SN,834
1991F,SN,835
1991G,SN,836
1991H,SN,837
1991K,SN,840
1991L,SN,841
1991M,SN,842
1991N,SN,843
1991O,SN,844
1991P,SN,845
