,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
0,130529,SN 2023kbu,221.66149166666668,19.280541666666664,SN Ia,0.0436,,,"ATLAS, ZTF","ATLAS, ZTF",ZTF,ATLAS; ZTF,ATLAS23lsz,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.241,orange-ATLAS,2023-06-08 08:34:33.312,ATLAS_Bot1,,2023TNSTR1343....1T,,
1,130463,SN 2023jzg,275.08024166666667,24.662419444444442,SN Ia,0.05,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF23aamwiqd,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,19.27,g-ZTF,2023-06-04 10:13:26.400,ZTF_Bot1,,2023TNSTR1333....1F,2023TNSCR1341....1H,
2,130409,SN 2023jxe,259.6917125,58.13401944444444,SN Ia,0.029,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF23aamzcfe,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.7288,r-ZTF,2023-06-05 06:56:26.016,ZTF_CLU_PUBLIC,,2023TNSTR1324....1D,,
3,130400,SN 2023jww,269.8431375,17.260091666666668,SN Ia,0.041,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF23aamtyjs,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.22,g-ZTF,2023-06-03 10:12:00.000,ZTF_Bot1,,2023TNSTR1323....1F,2023TNSCR1325....1F,
4,130390,SN 2023jwr,229.27748333333332,11.364072222222221,SN Ia,0.0464,LEDA 1392477,0.04636,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ALeRCE; ATLAS; Pan-STARRS,ZTF23aamvyyl,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.7004,r-ZTF,2023-06-04 08:36:10.996,ALeRCE,,2023TNSTR1312....1F,2023TNSCR1334....1K,
5,130382,SN 2023jwk,175.417375,-2.2462944444444446,SN Ia,0.054,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF23aamquyf,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.35,r-ZTF,2023-06-02 05:39:50.400,ZTF_Bot1,,2023TNSTR1318....1F,2023TNSCR1334....1K,
6,130381,SN 2023jwj,170.72684583333333,1.1177805555555556,SN Ia,0.072,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF23aalprtr,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,19.01,r-ZTF,2023-06-02 05:41:16.800,ZTF_Bot1,,2023TNSTR1318....1F,2023TNSCR1334....1K,
7,130376,SN 2023jwe,331.6819208333333,40.78344166666666,SN Ia,0.073,,,ALeRCE,ZTF,ZTF,ALeRCE,ZTF23aampyvc,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.6595,r-ZTF,2023-06-03 09:52:49.999,ALeRCE,,2023TNSTR1306....1F,2023TNSCR1319....1F,
8,130366,SN 2023jvu,249.5026875,55.405094444444444,SN Ia,0.03011,,,"ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; YSE; ZTF,ZTF23aamqonh,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,18.38,g-ZTF,2023-06-03 06:47:31.200,ZTF_Bot1,,2023TNSTR1309....1F,2023TNSCR1348....1F,
9,130364,SN 2023jvs,195.05955416666666,22.501597222222223,SN Ia,0.076,,,"ZTF, Fink, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; Fink; ZTF,ZTF23aamhlcu,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,20.18,g-ZTF,2023-05-28 08:51:21.600,ZTF_Bot1,,2023TNSTR1309....1F,2023TNSCR1341....1H,
10,130360,SN 2023jvp,0.8398708333333333,53.70800833333334,SN Ia,0.03896,,,ZTF,ZTF,ZTF,ZTF,ZTF23aamsbpu,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.25,g-ZTF,2023-06-02 10:10:33.600,ZTF_Bot1,,2023TNSTR1309....1F,2023TNSCR1319....1F,
11,130357,SN 2023jvm,165.40215416666666,8.526672222222222,SN Ia,0.068,SDSS J110136.58+083132.1,,ALeRCE,ZTF,ZTF,ALeRCE,ZTF23aamqmty,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.0997,r-ZTF,2023-06-02 04:39:56.998,ALeRCE,,2023TNSTR1293....1F,2023TNSCR1325....1F,
12,130354,SN 2023jvj,208.26022083333334,16.819736111111112,SN Ia,0.019,SDSS J135302.43+164909.5,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF23aamqtel,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.8712,r-ZTF,2023-06-02 05:34:02.001,ALeRCE,,2023TNSTR1293....1F,2023TNSCR1325....1F,
